undergradStatus,entryStatus,gender,raceEthnicity,year,count,hour,email
 <=50K,Bachelors,Male,<60,0,1,Full-time,lucas.x@hotmail.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,caleb.r@gmail.com
 <=50K,11th,Male,<60,0,1,Full-time,owen.l@hotmail.com
 <=50K,Bachelors,Female,<30,0,1,Full-time,samantha.y@gmail.com
 <=50K,Masters,Female,<40,0,1,Full-time,audrey.s@hotmail.com
 <=50K,9th,Female,<50,0,1,Full-time,lillian.n@hotmail.com
 >50K,HS-grad,Male,<60,0,1,Full-time,thomas.r@msn.com
 >50K,Masters,Female,<40,0,1,Full-time,stella.k@msn.com
 >50K,Bachelors,Male,<50,0,1,Full-time,michael.z@hotmail.com
 >50K,Some-college,Male,<40,0,1,Full-time,carter.t@yahoo.com
 >50K,Bachelors,Male,<40,0,1,Full-time,jacob.a@yahoo.com
 <=50K,Bachelors,Female,<30,0,1,Full-time,leah.e@gmail.com
 <=50K,Assoc-acdm,Male,<40,0,1,Full-time,mason.c@msn.com
 <=50K,7th-8th,Male,<40,0,1,Full-time,oliver.m@yahoo.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,liam.n@hotmail.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,jayden.i@msn.com
 <=50K,11th,Male,<40,0,1,Full-time,lucas.n@hotmail.com
 >50K,Masters,Female,<50,0,1,Full-time,lillian.w@msn.com
 >50K,Doctorate,Male,<50,0,1,Full-time,aiden.c@aol.com
 <=50K,HS-grad,Female,<60,0,1,Full-time,maya.a@msn.com
 <=50K,9th,Male,<40,0,1,Full-time,samuel.h@gmail.com
 <=50K,11th,Male,<50,0,1,Full-time,ryan.r@msn.com
 <=50K,HS-grad,Female,<60,0,1,Full-time,adalyn.m@gmail.com
 >50K,Bachelors,Male,<60,0,1,Full-time,logan.c@hotmail.com
 <=50K,HS-grad,Male,<20,0,1,Full-time,david.i@gmail.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,dominic.l@gmail.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,ethan.c@gmail.com
 <=50K,Assoc-acdm,Male,<30,0,1,Full-time,jacob.s@msn.com
 <=50K,Some-college,Male,<30,0,1,Part-time,grayson.e@gmail.com
 <=50K,Bachelors,Male,<50,0,1,Full-time,daniel.n@gmail.com
 <=50K,Some-college,Male,<40,0,1,Full-time,connor.w@gmail.com
 <=50K,Some-college,Male,<30,0,1,Full-time,ethan.b@yahoo.com
 <=50K,11th,Male,<50,0,1,Full-time,landon.t@gmail.com
 <=50K,Some-college,Male,<30,0,1,Full-time,cameron.x@yahoo.com
 <=50K,HS-grad,Female,<20,0,1,Part-time,kylie.h@yahoo.com
 <=50K,Assoc-acdm,Male,<50,0,1,Full-time,zachary.r@hotmail.com
 <=50K,9th,Male,<40,0,1,Full-time,james.i@gmail.com
 <=50K,Bachelors,Male,<60,0,1,Full-time,elijah.n@msn.com
 <=50K,Bachelors,Male,<30,0,1,Full-time,mason.k@gmail.com
 <=50K,HS-grad,Female,<50,0,1,Full-time,ellie.r@yahoo.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,carter.k@msn.com
 >50K,Bachelors,Male,<60,0,1,Full-time,connor.h@gmail.com
 <=50K,HS-grad,Male,<60,0,1,Full-time,nathan.i@yahoo.com
 <=50K,Masters,Female,<50,0,1,Full-time,makayla.n@aol.com
 <=50K,Assoc-voc,Male,<50,0,1,Full-time,cameron.r@gmail.com
 <=50K,Assoc-voc,Male,<30,0,1,Full-time,grayson.s@hotmail.com
 <=50K,Some-college,Female,<30,0,1,Full-time,avery.l@hotmail.com
 >50K,Prof-school,Female,<50,0,1,Full-time,maria.x@hotmail.com
 >50K,Bachelors,Male,<60,0,1,Full-time,caden.w@yahoo.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,thomas.k@gmail.com
 >50K,Some-college,Male,<50,0,1,Full-time,eli.r@gmail.com
 <=50K,5th-6th,Male,<50,0,1,Full-time,matthew.n@gmail.com
 <=50K,Assoc-voc,Male,<40,0,1,Full-time,jackson.c@gmail.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,brayden.n@aol.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,luke.i@gmail.com
 <=50K,Bachelors,Male,<40,0,1,Full-time,julian.l@hotmail.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,joshua.m@hotmail.com
 >50K,Doctorate,Male,<50,0,1,Full-time,michael.r@gmail.com
 <=50K,Some-college,Male,<30,0,1,Full-time,liam.i@gmail.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,grayson.m@yahoo.com
 <=50K,Some-college,Female,<30,0,1,Full-time,juliana.d@yahoo.com
 >50K,HS-grad,Female,<60,0,1,Full-time,nora.e@aol.com
 >50K,Some-college,Male,<50,0,1,Full-time,caden.e@msn.com
 <=50K,Some-college,Male,<20,0,1,Part-time,benjamin.n@gmail.com
 <=50K,Bachelors,Female,<40,0,1,Full-time,ella.r@msn.com
 >50K,Bachelors,Male,<30,0,1,Full-time,gabriel.l@yahoo.com
 <=50K,Some-college,Male,<30,0,1,Full-time,grayson.r@gmail.com
 <=50K,Some-college,Male,>=60,0,1,Part-time,julian.t@gmail.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,henry.x@gmail.com
 <=50K,Assoc-acdm,Male,<50,0,1,Full-time,levi.n@hotmail.com
 <=50K,11th,Female,<20,0,1,Part-time,abigail.s@yahoo.com
 <=50K,7th-8th,Male,<40,0,1,Full-time,grayson.s@aol.com
 <=50K,HS-grad,Male,<20,0,1,Part-time,hunter.r@aol.com
 <=50K,Bachelors,Male,<60,0,1,Full-time,jayce.m@gmail.com
 <=50K,HS-grad,Female,<50,0,1,Full-time,liliana.r@aol.com
 <=50K,HS-grad,Male,<60,0,1,Full-time,christian.s@yahoo.com
 >50K,HS-grad,Female,<50,0,1,Full-time,london.b@gmail.com
 <=50K,HS-grad,Female,<60,0,1,Full-time,emma.t@hotmail.com
 >50K,HS-grad,Male,<50,0,1,Full-time,james.i@msn.com
 <=50K,Masters,Male,<40,0,1,Full-time,andrew.a@yahoo.com
 <=50K,9th,Male,<40,0,1,Full-time,jayce.t@msn.com
 >50K,Doctorate,Female,<50,0,1,Full-time,madelyn.c@gmail.com
 <=50K,Assoc-voc,Male,<60,0,1,Full-time,hunter.x@gmail.com
 <=50K,Some-college,Female,<40,0,1,Full-time,ava.a@aol.com
 <=50K,Some-college,Female,<30,0,1,Full-time,emily.w@hotmail.com
 >50K,Bachelors,Male,<40,0,1,Full-time,anthony.r@aol.com
 <=50K,Some-college,Male,<30,0,1,Full-time,elijah.a@yahoo.com
 >50K,Doctorate,Male,<50,0,1,Full-time,eli.c@gmail.com
 >50K,Some-college,Male,<40,0,1,Full-time,luke.z@aol.com
 <=50K,Assoc-acdm,Female,<50,0,1,Full-time,layla.r@aol.com
 <=50K,HS-grad,Male,<40,0,1,Full-time,anthony.t@msn.com
 >50K,Masters,Male,>=60,0,1,Part-time,dylan.b@yahoo.com
 >50K,Bachelors,Male,<50,0,1,Full-time,hunter.h@hotmail.com
 <=50K,Masters,Female,<50,0,1,Full-time,vivian.k@msn.com
 <=50K,Some-college,Female,<30,0,1,Part-time,elena.k@msn.com
 <=50K,HS-grad,Male,<30,0,1,Full-time,noah.e@msn.com
 >50K,HS-grad,Male,<40,0,1,Full-time,julian.s@yahoo.com
 <=50K,11th,Male,<40,0,1,Full-time,andrew.r@gmail.com
 <=50K,HS-grad,Female,<40,0,1,Full-time,emma.z@msn.com
 <=50K,HS-grad,Male,<50,0,1,Full-time,isaac.n@aol.com
 <=50K,Bachelors,Male,<30,0,1,Full-time,william.x@msn.com
 >50K,Prof-school,Male,<40,0,1,Full-time,max.k@hotmail.com
 >50K,HS-grad,Male,<60,0,1,Full-time,wyatt.a@gmail.com
